cod_ine,municipio,provincia,poblacion,latitud,longitud
37124,ENDRINAL,SALAMANCA,204,40.590046,-5.804259
37130,FORFOLEDA,SALAMANCA,204,41.097063,-5.7487
37138,FUENTERROBLE DE SALVATIERRA,SALAMANCA,252,40.56263,-5.733196
37140,FUENTES DE OÑORO,SALAMANCA,1009,40.589462,-6.81175
37151,GOLPEJAS,SALAMANCA,144,40.999563,-5.90825
37152,GOMECELLO,SALAMANCA,412,41.042574,-5.535449
37155,GUIJO DE ÁVILA,SALAMANCA,78,40.530696,-5.639617
37165,IRUELOS,SALAMANCA,31,41.140773,-6.327167
37166,ITUERO DE AZABA,SALAMANCA,199,40.485746,-6.692268
37005,LA ALAMEDA DE GARDÓN,SALAMANCA,74,40.650296,-6.758225
37010,LA ALBERCA,SALAMANCA,1045,40.488659,-6.10994
37056,LA BOUZA,SALAMANCA,49,40.835423,-6.794849
37119,LA ENCINA,SALAMANCA,108,40.499122,-6.53108
37132,LA FREGENEDA,SALAMANCA,308,40.988114,-6.866298
37186,LA MATA DE LEDESMA,SALAMANCA,101,41.000382,-5.970747
37224,LA ORBADA,SALAMANCA,182,41.102156,-5.482918
37309,LA SIERPE,SALAMANCA,42,40.645767,-5.856269
37315,LA TALA,SALAMANCA,76,40.588985,-5.53713
37349,LA VÍDOLA,SALAMANCA,107,41.153011,-6.487105
37173,LUMBRALES,SALAMANCA,1510,40.935006,-6.719245
37182,MARTINAMOR,SALAMANCA,82,40.806262,-5.598974
37189,MEMBRIBE DE LA SIERRA,SALAMANCA,105,40.690941,-5.806229
37190,MIEZA,SALAMANCA,176,41.162497,-6.687975
37200,MONTEJO,SALAMANCA,198,40.6314,-5.622998
37203,MONTERRUBIO DE LA SIERRA,SALAMANCA,148,40.756355,-5.693102
37207,MORISCOS,SALAMANCA,566,41.007425,-5.582243
37209,MOZÁRBEZ,SALAMANCA,510,40.856839,-5.65112
37211,NARROS DE MATALAYEGUA,SALAMANCA,198,40.69975,-5.926175
